seq_num	parent_seq_num	max_status	
44745	44695	HR	
44815	44750	TS	
44840	44820	HR	
44895	44845	HR	
44965	44900	HR	
44990	44970	TS	
45035	44995	HR	
45070	45040	HR	
45120	45075	HR	
45260	45125	HR	
45300	45265	HR	
45345	45305	TS	
45370	45350	SS	
45410	45375	TS	
45485	45415	HR	
45550	45490	HR	
45580	45555	TS	
45635	45585	HR	
45670	45640	HR	
45735	45675	HR	
45770	45740	TS	
45810	45775	HR	
45845	45815	TS	
45890	45850	TS	
45930	45895	HR	
45970	45935	TS	
46030	45975	TS	
46075	46035	HR	
46130	46080	HR	
46165	46135	TS	
46200	46170	HR	
46250	46205	HR	
46300	46255	TS	
46360	46305	TS	
46440	46365	HR	
46505	46445	HR	
46665	46510	HR	
46700	46670	TS	
46760	46705	HR	
46790	46765	TS	
46820	46795	TS	
46885	46825	TS	
46930	46890	SS	
46990	46935	HR	
47055	46995	HR	
47105	47060	TS	
47165	47110	HR	
47195	47170	SS	
47240	47200	SS	
47285	47245	HR	
47315	47290	SS	
47350	47320	HR	
47415	47355	TS	
47460	47420	TS	
47520	47465	HR	
47560	47525	HR	
47645	47565	TS	
47670	47650	SS	
47705	47675	SS	
47745	47710	SS	
47775	47750	TS	
47825	47780	HR	
47900	47830	HR	
47930	47905	TS	
47995	47935	TS	
48050	48000	HR	
48100	48055	HR	
48140	48105	SS	
48190	48145	TS	
48225	48195	HR	
48280	48230	HR	
48330	48285	HR	
48400	48335	HR	
48470	48405	HR	
48545	48475	HR	
48580	48550	TS	
48615	48585	SS	
48650	48620	SS	
48710	48655	TS	
48745	48715	HR	
48790	48750	HR	
48820	48795	TS	
48910	48825	HR	
48980	48915	HR	
49015	48985	SS	
49075	49020	HR	
49125	49080	HR	
49165	49130	HR	
49210	49170	HR	
49260	49215	HR	
49295	49265	HR	
49325	49300	HR	
49355	49330	TS	
49395	49360	SS	
49420	49400	TS	
49450	49425	TS	
49490	49455	HR	
49520	49495	TS	
49565	49525	HR	
49640	49570	HR	
49690	49645	HR	
49750	49695	TS	
49780	49755	TS	
49815	49785	TS	
49860	49820	HR	
49900	49865	TS	
49950	49905	HR	
50035	49955	TS	
50120	50040	HR	
50150	50125	TS	
50250	50155	HR	
50320	50255	HR	
50380	50325	HR	
50405	50385	SS	
50475	50410	HR	
50515	50480	HR	
50555	50520	HR	
50585	50560	TS	
50635	50590	HR	
50725	50640	HR	
50775	50730	HR	
50820	50780	TS	
50890	50825	HR	
50950	50895	HR	
50980	50955	HR	
51010	50985	TS	
51035	51015	TS	
51065	51040	TS	
51155	51070	HR	
51230	51160	HR	
51290	51235	HR	
51345	51295	HR	
51405	51350	HR	
51480	51410	HR	
51515	51485	TS	
51550	51520	HR	
51590	51555	SS	
51625	51595	HR	
51650	51630	SS	
51710	51655	TS	
51740	51715	TS	
51790	51745	HR	
51820	51795	TS	
51865	51825	HR	
51910	51870	HR	
51950	51915	HR	
51985	51955	TS	
52015	51990	SS	
52070	52020	TS	
52110	52075	TS	
52135	52115	TS	
52190	52140	HR	
52210	52195	TS	
52250	52215	TS	
52280	52255	TS	
52340	52285	HR	
52385	52345	TS	
52470	52390	HR	
52525	52475	HR	
52600	52530	HR	
52635	52605	TS	
52675	52640	HR	
52730	52680	HR	
52785	52735	HR	
52835	52790	HR	
52870	52840	TS	
52965	52875	HR	
53000	52970	TS	
53055	53005	TS	
53100	53060	HR	
53155	53105	HR	
53185	53160	TS	
53225	53190	HR	
53325	53230	HR	
53355	53330	TS	
53420	53360	HR	
53450	53425	HR	
53505	53455	TS	
53620	53510	HR	
53665	53625	TS	
53705	53670	TS	
53780	53710	TS	
53825	53785	HR	
53865	53830	HR	
53895	53870	TS	
53920	53900	TS	
53980	53925	TS	
54035	53985	HR	
54060	54040	TS	
54090	54065	TS	
54125	54095	HR	
54200	54130	HR	
54270	54205	HR	
54300	54275	TS	
54380	54305	HR	
54440	54385	TS	
54490	54445	TS	
54530	54495	TS	
54565	54535	HR	
54625	54570	HR	
54685	54630	HR	
54775	54690	HR	
54860	54780	HR	
54950	54865	HR	
54990	54955	TS	
55025	54995	HR	
55070	55030	TS	
55110	55075	TS	
55170	55115	HR	
55220	55175	TS	
55260	55225	HR	
55330	55265	TS	
55360	55335	TS	
55425	55365	HR	
55470	55430	TS	
55550	55475	HR	
55640	55555	HR	
55685	55645	HR	
55745	55690	HR	
55780	55750	TS	
55820	55785	HR	
55865	55825	TS	
55945	55870	HR	
56010	55950	HR	
56045	56015	TS	
56080	56050	TS	
56105	56085	TS	
56140	56110	HR	
56180	56145	HR	
56210	56185	SS	
56285	56215	HR	
56375	56290	HR	
56430	56380	HR	
56465	56435	TS	
56515	56470	TS	
56570	56520	HR	
56600	56575	TS	
56650	56605	TS	
56680	56655	TS	
56720	56685	TS	
56810	56725	HR	
56855	56815	HR	
56905	56860	HR	
56935	56910	HR	
56985	56940	TS	
57025	56990	TS	
57075	57030	HR	
57100	57080	TS	
57140	57105	TS	
57185	57145	HR	
57265	57190	HR	
57320	57270	HR	
57360	57325	TS	
57425	57365	TS	
57465	57430	TS	
57510	57470	HR	
57610	57515	HR	
57640	57615	TS	
57705	57645	HR	
57800	57710	HR	
57845	57805	TS	
57900	57850	TS	
57995	57905	HR	
58105	58000	HR	
58175	58110	HR	
58235	58180	HR	
58270	58240	TS	
58355	58275	HR	
58395	58360	TS	
58445	58400	HR	
58490	58450	TS	
58565	58495	HR	
58600	58570	HR	
58645	58605	HR	
58750	58650	HR	
58855	58755	HR	
58905	58860	TS	
58985	58910	HR	
59040	58990	HR	
59115	59045	TS	
59135	59120	TS	
59225	59140	HR	
59305	59230	HR	
59330	59310	SS	
59370	59335	TS	
59395	59375	HR	
59425	59400	TS	
59495	59430	HR	
59590	59500	HR	
59625	59595	TS	
59655	59630	TS	
59700	59660	TS	
59775	59705	HR	
59805	59780	TS	
59895	59810	HR	
59950	59900	HR	
59990	59955	TS	
60085	59995	HR	
60115	60090	TS	
60170	60120	HR	
60250	60175	HR	
60295	60255	HR	
60335	60300	HR	
60440	60340	HR	
60495	60445	HR	
60545	60500	TS	
60595	60550	HR	
60670	60600	HR	
60760	60675	HR	
60795	60765	TS	
60870	60800	HR	
60945	60875	HR	
60975	60950	TS	
61025	60980	HR	
61080	61030	HR	
61115	61085	TS	
61180	61120	HR	
61305	61185	HR	
61330	61310	TS	
61355	61335	TS	
61395	61360	HR	
61420	61400	TS	
61470	61425	HR	
61520	61475	HR	
61585	61525	TS	
61665	61590	HR	
61715	61670	HR	
61770	61720	HR	
61815	61775	TS	
61855	61820	HR	
61885	61860	TS	
61920	61890	SS	
62005	61925	TS	
62050	62010	TS	
62105	62055	TS	
62155	62110	TS	
62250	62160	HR	
62325	62255	HR	
62390	62330	HR	
62435	62395	HR	
62475	62440	HR	
62500	62480	TS	
62535	62505	HR	
62570	62540	TS	
62625	62575	HR	
62650	62630	HR	
62720	62655	HR	
62760	62725	TS	
62800	62765	TS	
62830	62805	TS	
62875	62835	TS	
62915	62880	TS	
62960	62920	TS	
63010	62965	HR	
63040	63015	TS	
63120	63045	HR	
63145	63125	TS	
63270	63150	HR	
63350	63275	HR	
63410	63355	TS	
63450	63415	TS	
63515	63455	HR	
63585	63520	HR	
63615	63590	HR	
63695	63620	HR	
63725	63700	TS	
63765	63730	TS	
63850	63770	HR	
63890	63855	HR	
63980	63895	HR	
64045	63985	TS	
64080	64050	TS	
64190	64085	TS	
64230	64195	TS	
64265	64235	TS	
64310	64270	HR	
64380	64315	TS	
64425	64385	HR	
64495	64430	HR	
64520	64500	TS	
64615	64525	HR	
64665	64620	HR	
64700	64670	TS	
64825	64705	HR	
64920	64830	HR	
64995	64925	HR	
65080	65000	HR	
65110	65085	TS	
65130	65115	SS	
65190	65135	TS	
65235	65195	TS	
65260	65240	TS	
65315	65265	HR	
65400	65320	HR	
65465	65405	HR	
65530	65470	TS	
65555	65535	TS	
65630	65560	TS	
65715	65635	HR	
65735	65720	TS	
65790	65740	HR	
65835	65795	TS	
65915	65840	HR	
65965	65920	HR	
66065	65970	HR	
66115	66070	HR	
66170	66120	HR	
66205	66175	HR	
66225	66210	SS	
66250	66230	TS	
66280	66255	HR	
66350	66285	HR	
66375	66355	TS	
66415	66380	HR	
66470	66420	TS	
66535	66475	TS	
66600	66540	HR	
66655	66605	TS	
66715	66660	TS	
66745	66720	TS	
66780	66750	TS	
66820	66785	TS	
66870	66825	TS	
66940	66875	HR	
67035	66945	HR	
67120	67040	HR	
67210	67125	HR	
67255	67215	HR	
67310	67260	SS	
67350	67315	TS	
67390	67355	TS	
